wl,n
0.8000,2.8589520374684
0.8633,2.8371465748565
0.9316,2.8193937803817
1.005,2.804860395528
1.085,2.792712433038
1.171,2.7826415047721
1.263,2.774274097115
1.363,2.7671750038559
1.471,2.7611700484031
1.587,2.7560945942042
1.713,2.7517386218386
1.848,2.7480341075395
1.995,2.7448166702048
2.152,2.7420593916741
2.323,2.7396324159068
2.506,2.7375157630394
2.705,2.7356201387629
2.919,2.7339204149224
3.150,2.7323664708069
3.399,2.7309219297372
3.668,2.7295481680347
3.958,2.7282146597537
4.271,2.7268873993816
4.609,2.7255334694745
4.973,2.7241236209528
5.367,2.722615896388
5.791,2.7209817367949
6.249,2.7191741674566
6.744,2.7171454828246
7.277,2.7148507701244
7.853,2.7122209064428
8.474,2.7091903653367
9.144,2.7056726667856
9.868,2.7015596322418
10.65,2.6967276202901
11.49,2.6910558599229
12.40,2.6843094227449
13.38,2.676291442945
14.44,2.6666677652473
15.58,2.6551121338983
16.81,2.6410941728307
18.14,2.623904074043
19.58,2.602569740894
21.13,2.5759081968076
22.80,2.5420317150586
24.60,2.4980954455311
26.55,2.4392522651992
28.65,2.3579995235862
30.92,2.2393947864768
33.36,2.053064285323
36.00,1.7135991736992
38.85,0.78201864672192
41.92,0
45.24,0
48.82,7.2853868070778
52.68,4.8299400598964
56.84,4.1988654209016
61.34,3.9021282832044
66.19,3.7304711233553
71.43,3.6191091665729
77.08,3.5418207029012
83.18,3.485509465177
89.76,3.4431079069812
96.86,3.410350896451
104.5,3.3846104362991
112.8,3.3638891105273
121.7,3.347225907365
131.3,3.3336015562763
141.7,3.3223300524779
152.9,3.3130019673027
165.0,3.3052145536315
178.1,3.2986736254993
192.2,3.2931912764987
207.4,3.2885721875918
223.8,3.2846660737143
241.5,3.2813544505828
260.6,3.2785419730399
281.2,3.2761506333438
303.5,3.2741076430406
327.5,3.2723704441822
353.4,3.270887280757
381.3,3.2696219765976
411.5,3.2685366846576
444.0,3.2676106661758
479.2,3.2668151198787
517.1,3.2661354847761
558.0,3.2655531694305
602.1,3.2650544544963
649.7,3.2646267454055
701.1,3.2642597248711
756.6,3.2639447802441
816.5,3.2636746169742
881.1,3.26344299294
950.7,3.2632445310488
1026,3.2630737736388
1107,3.2629276728867
1195,3.2628014608315
1289,3.2626942124418
1391,3.2626015797341
1501,3.2625221059268
1620,3.26245371838
