wl,n
0.34440,0.47332
0.34925,0.49866
0.35424,0.50669
0.35937,0.52896
0.36466,0.53878
0.37010,0.56026
0.37571,0.56970
0.38149,0.57238
0.38745,0.58851
0.39360,0.60855
0.39995,0.63038
0.40651,0.64527
0.41328,0.65983
0.42029,0.67409
0.42753,0.68807
0.43503,0.71373
0.44280,0.73874
0.45085,0.76315
0.45920,0.78700
0.46786,0.82149
0.47686,0.84413
0.48621,0.87714
0.49594,0.90938
0.50606,0.94091
0.51660,0.97131
0.52759,1.00133
0.53906,1.03008
0.55104,1.05808
0.56356,1.09481
0.57667,1.13140
0.59040,1.16620
0.60480,1.19016
0.61992,1.23314
0.63582,1.26422
0.65255,1.30407
0.67018,1.34164
0.68880,1.39555
0.70848,1.44648
0.72932,1.49588
0.75142,1.57370
0.77490,1.66134
0.79990,1.77582
0.82656,1.86983
0.85506,1.97631
0.88560,2.05685
0.91840,2.13143
0.95372,2.16086
0.99187,2.18402
1.03320,2.19287
1.07812,2.19247
1.12713,2.19219
1.18080,2.21278
1.23984,2.22061
1.30510,2.25471
1.37760,2.30088
1.45864,2.34655
1.54980,2.40614
1.65312,2.51787
1.77120,2.69499

