wl,n
0.32627,0.34301
0.33062,0.33820
0.33509,0.33429
0.33968,0.33051
0.34440,0.32328
0.34925,0.31984
0.35424,0.31649
0.35937,0.31009
0.36466,0.30404
0.37010,0.29531
0.37571,0.28993
0.38149,0.28191
0.38745,0.27423
0.39360,0.26970
0.39995,0.26258
0.40651,0.25378
0.41328,0.24549
0.42029,0.23668
0.42753,0.22763
0.43503,0.22207
0.44280,0.21396
0.45085,0.20635
0.45920,0.19683
0.46786,0.19016
0.47686,0.18385
0.48621,0.17389
0.49594,0.16838
0.50606,0.16165
0.51660,0.15539
0.52759,0.14953
0.53906,0.14601
0.55104,0.14359
0.56356,0.14428
0.57667,0.14585
0.59040,0.14653
0.60480,0.14817
0.61992,0.14898
0.63582,0.15069
0.65255,0.15243
0.67018,0.15574
0.68880,0.15828
0.70848,0.16159
0.72932,0.16422
0.75142,0.16954
0.77490,0.17282
0.79990,0.17926
0.82656,0.18374
0.85506,0.18995
0.88560,0.19721
0.91840,0.20636
0.95372,0.21524
0.99187,0.22532
1.03320,0.22874
1.07812,0.24492
1.12713,0.26222
1.18080,0.27055
1.23984,0.28997
1.30510,0.31059
1.37760,0.33455
1.45864,0.35887
1.54980,0.39382
1.65312,0.44518
1.77120,0.48911

