wl,n
8.26561E-08,1
1.23984E-07,1
1.5498E-07,1
2.0664E-07,1
2.47968E-07,1
3.0996E-07,1
4.13281E-07,1
6.19921E-07,1
8.26561E-07,1
9.91873E-07,1
1.23984E-06,1
1.5498E-06,1
2.0664E-06,1
2.47968E-06,0.99999999
3.0996E-06,0.99999999
4.27366E-06,0.99999998
4.56854E-06,0.99999998
4.88377E-06,0.99999998
5.22075E-06,0.99999997
5.58098E-06,0.99999997
5.96607E-06,0.99999997
6.37773E-06,0.99999996
6.81779E-06,0.99999996
7.28822E-06,0.99999995
7.7911E-06,0.99999994
8.32869E-06,0.99999993
8.90337E-06,0.99999992
9.5177E-06,0.99999991
1.01744E-05,0.9999999
1.08765E-05,0.99999988
1.16269E-05,0.99999987
1.24292E-05,0.99999985
1.32868E-05,0.99999983
1.42036E-05,0.9999998
1.51836E-05,0.99999977
1.62313E-05,0.99999974
1.73513E-05,0.99999971
1.85485E-05,0.99999967
1.91985E-05,0.99999965
1.94851E-05,0.99999965
1.96021E-05,0.99999964
1.96809E-05,0.99999963
1.98284E-05,0.99999962
1.99821E-05,0.99999962
2.11965E-05,0.99999956
2.26591E-05,0.99999948
2.42226E-05,0.9999994
2.58939E-05,0.9999993
2.76806E-05,0.99999917
2.95906E-05,0.99999899
3.16323E-05,0.99999885
3.38149E-05,0.9999987
3.61482E-05,0.99999854
3.86424E-05,0.99999837
4.13281E-05,0.99999814
4.15617E-05,0.99999812
4.17967E-05,0.9999981
4.2033E-05,0.99999808
4.22707E-05,0.99999806
4.25097E-05,0.99999803
4.275E-05,0.99999801
4.29918E-05,0.99999799
4.32348E-05,0.99999797
4.34793E-05,0.99999795
4.37251E-05,0.99999794
4.39723E-05,0.99999792
4.4221E-05,0.9999979
4.4471E-05,0.99999787
4.47224E-05,0.99999786
4.49753E-05,0.99999784
4.52296E-05,0.99999782
4.54853E-05,0.9999978
4.57425E-05,0.99999778
4.60011E-05,0.99999776
4.62612E-05,0.99999774
4.65228E-05,0.99999772
4.67858E-05,0.99999771
4.70503E-05,0.99999768
4.73164E-05,0.99999767
4.75839E-05,0.99999765
4.78529E-05,0.99999763
4.81235E-05,0.9999976
4.83956E-05,0.99999757
4.86692E-05,0.99999755
4.89444E-05,0.99999752
4.92211E-05,0.99999749
4.94994E-05,0.99999746
4.97793E-05,0.99999744
5.00607E-05,0.99999741
5.03438E-05,0.99999737
5.06284E-05,0.99999734
5.09147E-05,0.99999732
5.12026E-05,0.99999728
5.14921E-05,0.99999725
5.17832E-05,0.99999722
5.2076E-05,0.99999719
5.23704E-05,0.99999716
5.26665E-05,0.99999713
5.29643E-05,0.99999709
5.32638E-05,0.99999706
5.35649E-05,0.99999703
5.38678E-05,0.99999699
5.41723E-05,0.99999696
5.44786E-05,0.99999692
5.47866E-05,0.99999689
5.50964E-05,0.99999685
5.54079E-05,0.99999681
5.57212E-05,0.99999678
5.60363E-05,0.99999674
5.63531E-05,0.9999967
5.66717E-05,0.99999666
5.69921E-05,0.99999663
5.73144E-05,0.99999659
5.76384E-05,0.99999655
5.79643E-05,0.99999651
5.8292E-05,0.99999647
5.86216E-05,0.99999643
5.89531E-05,0.99999639
5.92864E-05,0.99999635
5.96216E-05,0.9999963
5.99587E-05,0.99999626
6.02977E-05,0.99999622
6.06386E-05,0.99999617
6.09815E-05,0.99999613
6.13263E-05,0.99999609
6.1673E-05,0.99999604
6.20217E-05,0.99999599
6.23724E-05,0.99999595
6.2725E-05,0.9999959
6.30797E-05,0.99999585
6.34364E-05,0.99999581
6.3795E-05,0.99999576
6.41557E-05,0.99999571
6.45185E-05,0.99999566
6.48832E-05,0.99999561
6.52501E-05,0.99999556
6.5619E-05,0.99999551
6.599E-05,0.99999546
6.63631E-05,0.99999541
6.67384E-05,0.99999535
6.71157E-05,0.9999953
6.74952E-05,0.99999525
6.78768E-05,0.99999519
6.82606E-05,0.99999514
6.86465E-05,0.99999508
6.90346E-05,0.99999502
6.9425E-05,0.99999496
6.98175E-05,0.99999491
7.02123E-05,0.99999485
7.06092E-05,0.9999948
7.10085E-05,0.99999473
7.14099E-05,0.99999467
7.18137E-05,0.99999462
7.22197E-05,0.99999456
7.26281E-05,0.9999945
7.30387E-05,0.99999443
7.34517E-05,0.99999437
7.3867E-05,0.9999943
7.42846E-05,0.99999424
7.47046E-05,0.99999417
7.5127E-05,0.99999411
7.55518E-05,0.99999403
7.59789E-05,0.99999397
7.64085E-05,0.9999939
7.68405E-05,0.99999383
7.7275E-05,0.99999377
7.77119E-05,0.99999368
7.81513E-05,0.99999361
7.85932E-05,0.99999355
7.90375E-05,0.99999347
7.94844E-05,0.9999934
7.99338E-05,0.99999333
8.03858E-05,0.99999323
8.08403E-05,0.99999316
8.12973E-05,0.99999308
8.1757E-05,0.99999301
8.22193E-05,0.99999293
8.26841E-05,0.99999283
8.31516E-05,0.99999275
8.36218E-05,0.99999267
8.40946E-05,0.99999259
8.457E-05,0.99999251
8.50482E-05,0.99999243
8.55291E-05,0.99999231
8.60126E-05,0.99999222
8.6499E-05,0.99999214
8.6988E-05,0.99999206
8.74799E-05,0.99999197
8.79745E-05,0.99999189
8.84719E-05,0.9999918
8.89721E-05,0.99999167
8.94752E-05,0.99999158
8.99811E-05,0.99999149
9.04898E-05,0.9999914
9.10014E-05,0.99999131
9.1516E-05,0.99999122
9.20334E-05,0.9999911
9.25538E-05,0.99999101
9.30771E-05,0.99999091
9.36033E-05,0.99999082
9.41326E-05,0.99999072
9.46648E-05,0.99999063
9.52E-05,0.99999053
9.57383E-05,0.9999904
9.62796E-05,0.9999903
9.6824E-05,0.9999902
9.73714E-05,0.99999011
9.79219E-05,0.99999
9.84756E-05,0.9999899
9.90324E-05,0.9999898
9.95923E-05,0.99998965
0.000100155,0.99998954
0.000100722,0.99998944
0.000101291,0.99998934
0.000101864,0.99998923
0.00010244,0.99998913
0.000103019,0.99998902
0.000103601,0.99998887
0.000104187,0.99998877
0.000104776,0.99998866
0.000105369,0.99998855
0.000105964,0.99998845
0.000106564,0.99998834
0.000107166,0.99998823
0.000107772,0.99998813
0.000108381,0.99998801
0.000108994,0.99998791
0.00010961,0.9999878
0.00011023,0.99998771
0.000110853,0.99998761
0.00011148,0.99998752
0.00011211,0.99998743
0.000112744,0.99998733
0.000113382,0.99998727
0.000114023,0.99998729
0.000114668,0.99998718
0.000115316,0.99998696
0.000115968,0.99998683
0.000116624,0.99998672
0.000117283,0.99998663
0.000117946,0.99998657
0.000118613,0.99998654
0.000119284,0.99998675
0.000119958,0.99998663
0.000120636,0.99998615
0.000121318,0.99998589
0.000122004,0.99998567
0.000122694,0.99998547
0.000123388,0.99998529
0.000124085,0.99998513
0.000124787,0.99998496
0.000125493,0.9999848
0.000126202,0.99998465
0.000126916,0.99998451
0.000127633,0.99998438
0.000128355,0.99998425
0.000129081,0.99998414
0.00012981,0.99998405
0.000130544,0.99998397
0.000131283,0.99998393
0.000132025,0.99998394
0.000132771,0.99998407
0.000133522,0.99998473
0.000134277,0.99998457
0.000135036,0.99998357
0.0001358,0.99998306
0.000136567,0.99998267
0.00013734,0.99998232
0.000138116,0.999982
0.000138897,0.99998169
0.000139682,0.99998139
0.000140472,0.9999811
0.000141266,0.99998082
0.000142065,0.99998053
0.000142868,0.99998025
0.000143676,0.99997997
0.000144488,0.99997969
0.000145305,0.99997941
0.000146127,0.99997916
0.000146953,0.99997888
0.000147784,0.9999786
0.00014862,0.99997831
0.00014946,0.99997803
0.000150305,0.99997775
0.000151155,0.99997746
0.000152009,0.99997717
0.000152869,0.99997688
0.000153733,0.99997658
0.000154602,0.99997629
0.000155476,0.99997603
0.000156356,0.99997573
0.00015724,0.99997543
0.000158129,0.99997512
0.000159023,0.99997482
0.000159922,0.9999745
0.000160826,0.99997419
0.000161735,0.99997387
0.00016265,0.99997355
0.000163569,0.99997323
0.000164494,0.9999729
0.000165424,0.99997263
0.00016636,0.9999723
0.0001673,0.99997196
0.000168246,0.99997162
0.000169197,0.99997128
0.000170154,0.99997093
0.000171116,0.99997058
0.000172084,0.99997023
0.000173057,0.99996987
0.000174035,0.9999695
0.000175019,0.99996914
0.000176009,0.99996877
0.000177004,0.99996839
0.000178005,0.9999681
0.000179011,0.99996772
0.000180023,0.99996734
0.000181041,0.99996695
0.000182065,0.99996656
0.000183094,0.99996616
0.000184129,0.99996576
0.00018517,0.99996535
0.000186217,0.99996494
0.00018727,0.99996452
0.000188329,0.99996411
0.000189394,0.99996368
0.000190465,0.99996326
0.000191541,0.99996283
0.000192624,0.99996238
0.000193714,0.99996194
0.000194809,0.99996149
0.00019591,0.99996104
0.000197018,0.99996058
0.000198132,0.99996012
0.000199252,0.99995965
0.000200379,0.99995918
0.000201512,0.99995871
0.000202651,0.99995822
0.000203797,0.99995773
0.000204949,0.99995724
0.000206108,0.99995674
0.000207273,0.99995633
0.000208445,0.99995583
0.000209624,0.99995531
0.000210809,0.99995479
0.000212001,0.99995426
0.000213199,0.99995373
0.000214405,0.9999532
0.000215617,0.99995265
0.000216836,0.9999521
0.000218062,0.99995155
0.000219295,0.99995099
0.000220535,0.99995042
0.000221782,0.99994984
0.000223036,0.99994927
0.000224297,0.99994868
0.000225565,0.99994809
0.000226841,0.99994749
0.000228123,0.99994688
0.000229413,0.99994627
0.00023071,0.99994565
0.000232014,0.99994503
0.000233326,0.9999444
0.000234645,0.99994375
0.000235972,0.99994311
0.000237306,0.99994245
0.000238648,0.99994179
0.000239997,0.99994113
0.000241354,0.99994046
0.000242719,0.99993977
0.000244091,0.99993909
0.000245471,0.99993839
