wl,n
2.480E-05,1.000E+00
3.100E-05,1.000E+00
4.133E-05,1.000E+00
6.199E-05,1.001E+00
1.240E-04,1.000E+00
1.550E-04,1.000E+00
2.066E-04,9.999E-01
3.100E-04,9.998E-01
6.199E-04,9.999E-01
8.266E-04,1.000E+00
9.537E-04,1.000E+00
9.840E-04,1.000E+00
9.919E-04,9.999E-01
1.033E-03,1.000E+00
1.240E-03,9.999E-01
1.550E-03,9.996E-01
2.066E-03,9.990E-01
2.480E-03,9.987E-01
2.755E-03,9.984E-01
3.100E-03,9.977E-01
3.542E-03,9.974E-01
4.133E-03,9.963E-01
4.959E-03,9.948E-01
6.199E-03,9.923E-01
6.888E-03,9.911E-01
7.749E-03,9.891E-01
8.266E-03,9.881E-01
8.551E-03,9.871E-01
8.856E-03,9.860E-01
9.184E-03,9.849E-01
9.537E-03,9.846E-01
9.919E-03,9.847E-01
1.033E-02,9.846E-01
1.078E-02,9.841E-01
1.127E-02,9.829E-01
1.181E-02,9.815E-01
1.240E-02,9.815E-01
1.305E-02,9.838E-01
1.378E-02,9.860E-01
1.393E-02,9.867E-01
1.409E-02,9.870E-01
1.425E-02,9.870E-01
1.442E-02,9.870E-01
1.476E-02,9.880E-01
1.512E-02,9.880E-01
1.550E-02,9.870E-01
1.590E-02,9.860E-01
1.631E-02,9.840E-01
1.675E-02,9.860E-01
1.722E-02,9.920E-01
1.771E-02,1.000E+00
1.823E-02,1.005E+00
1.879E-02,1.008E+00
1.937E-02,1.008E+00
2.000E-02,1.008E+00
2.066E-02,1.008E+00
2.101E-02,1.008E+00
2.138E-02,1.009E+00
2.175E-02,1.010E+00
2.214E-02,1.011E+00
2.234E-02,1.012E+00
2.254E-02,1.013E+00
2.275E-02,1.013E+00
2.296E-02,1.014E+00
2.317E-02,1.015E+00
2.339E-02,1.017E+00
2.362E-02,1.018E+00
2.384E-02,1.019E+00
2.407E-02,1.020E+00
2.431E-02,1.021E+00
2.455E-02,1.023E+00
2.480E-02,1.030E+00
2.490E-02,1.040E+00
2.500E-02,1.050E+00
2.510E-02,1.053E+00
2.520E-02,1.040E+00
2.530E-02,1.033E+00
2.556E-02,1.023E+00
2.583E-02,1.018E+00
2.695E-02,1.004E+00
2.818E-02,9.970E-01
2.952E-02,9.890E-01
3.100E-02,9.820E-01
3.263E-02,9.750E-01
3.444E-02,9.670E-01
3.647E-02,9.590E-01
3.875E-02,9.500E-01
4.133E-02,9.390E-01
4.428E-02,9.240E-01
4.769E-02,9.060E-01
5.166E-02,8.850E-01
5.636E-02,8.610E-01
6.199E-02,8.330E-01
6.888E-02,7.980E-01
7.749E-02,7.410E-01
8.266E-02,6.920E-01
8.856E-02,6.440E-01
9.537E-02,5.770E-01
1.033E-01,4.770E-01
1.078E-01,4.040E-01
1.127E-01,2.930E-01
1.181E-01,1.100E-01
1.240E-01,7.230E-02
1.305E-01,6.910E-02
1.378E-01,7.170E-02
1.459E-01,8.580E-02
1.550E-01,1.150E-01
1.653E-01,1.550E-01
1.698E-01,1.710E-01
1.746E-01,1.840E-01
1.797E-01,1.940E-01
1.851E-01,1.990E-01
1.907E-01,1.970E-01
1.968E-01,1.870E-01
2.033E-01,1.660E-01
2.101E-01,1.400E-01
2.175E-01,1.210E-01
2.214E-01,1.120E-01
2.480E-01,1.110E-01
3.100E-01,1.320E-01
4.133E-01,1.840E-01
6.199E-01,3.820E-01
8.266E-01,7.910E-01
1.240E+00,2.997E+00
1.378E+00,4.776E+00
1.550E+00,8.269E+00
1.771E+00,1.120E+01
1.907E+00,8.809E+00
2.066E+00,6.056E+00
2.254E+00,4.194E+00
2.480E+00,4.509E+00
2.755E+00,5.056E+00
3.100E+00,6.069E+00
3.542E+00,7.519E+00
4.133E+00,9.516E+00
4.959E+00,1.230E+01
6.199E+00,1.520E+01
8.266E+00,1.890E+01
1.240E+01,2.380E+01
2.480E+01,3.030E+01

