wl,n
0.188,1.48
0.192,1.55
0.195,1.59
0.199,1.62
0.203,1.63
0.207,1.67
0.212,1.70
0.216,1.72
0.221,1.73
0.226,1.74
0.231,1.78
0.237,1.81
0.243,1.82
0.249,1.82
0.255,1.83
0.262,1.84
0.269,1.85
0.276,1.86
0.284,1.85
0.292,1.85
0.301,1.86
0.311,1.86
0.320,1.86
0.332,1.86
0.342,1.87
0.354,1.89
0.368,1.89
0.381,1.92
0.397,1.96
0.413,2.00
0.431,2.06
0.451,2.11
0.471,2.19
0.496,2.25
0.521,2.32
0.549,2.39
0.582,2.47
0.617,2.51
0.659,2.56
0.704,2.62
0.756,2.70
0.821,2.83
0.892,2.97
0.984,3.10
1.088,3.30
1.216,3.48
1.393,3.65
1.610,3.78
1.937,3.89

