wl,n
0.1404,1.0000771789454
0.1445,1.0000763971031
0.1485,1.0000757112634
0.1526,1.0000750763517
0.1566,1.0000745146937
0.1607,1.0000739907384
0.1647,1.0000735239588
0.1688,1.0000730856817
0.1729,1.0000726834677
0.1769,1.0000723220083
0.1810,1.0000719798629
0.1850,1.0000716708946
0.1891,1.0000713771088
0.1932,1.0000711042583
0.1972,1.0000708563289
0.2013,1.0000706191995
0.2053,1.0000704029598
0.2094,1.0000701954417
0.2134,1.0000700055988
0.2175,1.0000698228594
0.2216,1.0000696511369
0.2256,1.0000694933725
0.2297,1.0000693408959
0.2337,1.0000692004618
0.2378,1.0000690644097
0.2419,1.0000689357617
0.2459,1.0000688168732
0.2500,1.0000687013211
0.2540,1.0000685943192
0.2581,1.000068490118
0.2621,1.0000683934467
0.2662,1.0000682991365
0.2703,1.0000682093514
0.2743,1.0000681258409
0.2784,1.0000680441686
0.2824,1.0000679680856
0.2865,1.0000678935655
0.2905,1.0000678240445
0.2946,1.0000677558558
0.2987,1.0000676905967
0.3027,1.0000676295924
0.3068,1.0000675696404
0.3108,1.0000675135279
0.3149,1.000067458317
0.3190,1.0000674053143
0.3230,1.0000673556202
0.3271,1.0000673066424
0.3311,1.0000672606729
0.3352,1.000067215319
0.3392,1.0000671727078
0.3433,1.0000671306259
0.3474,1.0000670900796
0.3514,1.0000670519311
0.3555,1.0000670142042
0.3595,1.0000669786768
0.3636,1.0000669435118
0.3676,1.0000669103691
0.3717,1.0000668775375
0.3758,1.0000668458081
0.3798,1.0000668158677
0.3839,1.0000667861738
0.3879,1.0000667581333
0.3920,1.0000667303033
0.3961,1.0000667033572
0.4001,1.0000666778845
0.4042,1.0000666525768
0.4082,1.0000666286369
0.4123,1.0000666048366
0.4163,1.0000665823083
0.4204,1.0000665598974
0.4245,1.0000665381485
0.4285,1.0000665175431
0.4326,1.0000664970268
0.4366,1.000066477578
0.4407,1.0000664582025
0.4448,1.000066439372
0.4488,1.0000664215066
0.4529,1.0000664036941
0.4569,1.0000663867858
0.4610,1.0000663699188
0.4650,1.0000663538999
0.4691,1.0000663379124
0.4732,1.0000663223467
0.4772,1.0000663075531
0.4813,1.0000662927779
0.4853,1.0000662787292
0.4894,1.0000662646917
0.4934,1.0000662513384
0.4975,1.0000662379901
0.5016,1.0000662249734
0.5056,1.0000662125833
0.5097,1.00006620019
0.5137,1.0000661883885
0.5178,1.0000661765793
0.5219,1.0000661650517
0.5259,1.0000661540682
0.5300,1.0000661430712
0.5340,1.0000661325893
0.5381,1.0000661220906
0.5421,1.0000661120801
0.5462,1.00006610205
