wl,n
0.188,1.26
0.192,1.29
0.195,1.29
0.199,1.28
0.203,1.28
0.207,1.29
0.212,1.32
0.216,1.34
0.221,1.38
0.226,1.43
0.231,1.49
0.237,1.57
0.243,1.65
0.249,1.73
0.255,1.82
0.262,1.89
0.269,1.96
0.276,2.01
0.284,2.03
0.292,2.03
0.301,2.02
0.311,2.01
0.320,1.93
0.332,1.84
0.342,1.78
0.354,1.74
0.368,1.70
0.381,1.72
0.397,1.72
0.413,1.70
0.431,1.71
0.451,1.73
0.471,1.78
0.496,1.82
0.521,1.85
0.549,1.92
0.582,1.96
0.617,1.99
0.659,1.99
0.704,2.06
0.756,2.13
0.821,2.26
0.892,2.40
0.984,2.48
1.088,2.65
1.216,2.79
1.393,2.96
1.610,3.14
1.937,3.47

