wl,n
0.38135,3.57055
0.38252,3.5762
0.3837,3.58757
0.38489,3.59214
0.38608,3.59722
0.38728,3.60195
0.38849,3.62353
0.38971,3.59875
0.39093,3.61805
0.39217,3.63219
0.39341,3.66346
0.39466,3.67411
0.39591,3.69766
0.39718,3.71706
0.39845,3.73979
0.39973,3.78014
0.40102,3.8057
0.40231,3.8604
0.40362,3.89555
0.40493,3.94625
0.40625,3.98777
0.40759,4.03285
0.40892,4.07139
0.41027,4.13159
0.41163,4.15938
0.413,4.19219
0.41437,4.22884
0.41576,4.24432
0.41715,4.27358
0.41856,4.29317
0.41997,4.3212
0.42139,4.33737
0.42282,4.36193
0.42426,4.39056
0.42572,4.4254
0.42718,4.46194
0.42865,4.51156
0.43013,4.5676
0.43162,4.64005
0.43313,4.71305
0.43464,4.80001
0.43616,4.88428
0.4377,4.96034
0.43924,5.02682
0.4408,5.0909
0.44237,5.14712
0.44395,5.18691
0.44554,5.2158
0.44714,5.22198
0.44875,5.23083
0.45038,5.231
0.45201,5.22101
0.45366,5.20234
0.45532,5.17803
0.45699,5.16214
0.45868,5.12764
0.46037,5.09715
0.46208,5.07348
0.46381,5.04646
0.46554,5.02005
0.46729,4.98601
0.46905,4.95722
0.47083,4.92839
0.47262,4.90019
0.47442,4.87487
0.47624,4.83519
0.47806,4.80836
0.47991,4.78931
0.48177,4.76157
0.48364,4.7366
0.48553,4.71743
0.48743,4.69512
0.48935,4.66434
0.49128,4.64502
0.49323,4.6214
0.49519,4.60837
0.49717,4.58892
0.49917,4.57392
0.50118,4.55767
0.5032,4.54988
0.50525,4.54304
0.50731,4.5478
0.50938,4.56053
0.51148,4.59739
0.51359,4.64064
0.51572,4.69308
0.51787,4.74744
0.52003,4.81046
0.52221,4.85503
0.52441,4.89309
0.52663,4.90784
0.52887,4.9083
0.53113,4.89061
0.53341,4.87454
0.53571,4.84001
0.53802,4.80926
0.54036,4.77608
0.54271,4.7411
0.54509,4.70587
0.54749,4.67461
0.54991,4.64404
0.55235,4.61247
0.55482,4.57845
0.5573,4.55153
0.55981,4.528
0.56234,4.49543
0.56489,4.46798
0.56747,4.43994
0.57007,4.40706
0.5727,4.3701
0.57534,4.34223
0.57802,4.30915
0.58071,4.26176
0.58344,4.22425
0.58619,4.1749
0.58896,4.11842
0.59176,4.06793
0.59459,4.00232
0.59745,3.93996
0.60033,3.87851
0.60324,3.84931
0.60618,3.88776
0.60915,4.07358
0.61215,4.44432
0.61517,4.90659
0.61823,5.25133
0.62132,5.37375
0.62444,5.3408
0.62759,5.25118
0.63077,5.14043
0.63398,5.04129
0.63723,4.95143
0.64051,4.87793
0.64383,4.81171
0.64717,4.75659
0.65056,4.70992
0.65398,4.66765
0.65743,4.62818
0.66093,4.59417
0.66446,4.56477
0.66803,4.53548
0.67163,4.50949
0.67528,4.48066
0.67896,4.45957
0.68269,4.43864
0.68646,4.42149
0.69026,4.39974
0.69411,4.38653
0.69801,4.36815
0.70195,4.34986
0.70593,4.33882
0.70996,4.32035
0.71403,4.30689
0.71815,4.29501
0.72233,4.28247
0.72655,4.27099
0.73081,4.25375
0.73513,4.24456
0.7395,4.23223
0.74392,4.21997
0.74839,4.20814
0.75293,4.1964
0.75751,4.18678
0.76215,4.17829
0.76685,4.16782
0.7716,4.15794
0.77642,4.14961
0.7813,4.14488
0.78623,4.12994
0.79124,4.1268
0.7963,4.11776
0.80143,4.1031
0.80662,4.10065
0.81189,4.09428
0.81722,4.08068
0.82262,4.07583
0.8281,4.07297
0.83365,4.06175
0.83927,4.05821
0.84498,4.0475
0.85075,4.04684
0.85661,4.03471
0.86255,4.02899
0.86857,4.02674
0.87468,4.01738
0.88087,4.01204
0.88715,4.01016
0.89352,4.00473
