wl,n
0.1404,1.0003954468031
0.1447,1.000384471176
0.1489,1.0003754104638
0.1532,1.0003674523406
0.1575,1.0003605550249
0.1618,1.0003545167348
0.1660,1.0003493024815
0.1703,1.0003445489327
0.1746,1.0003402956037
0.1789,1.0003364687805
0.1831,1.0003330854785
0.1874,1.0003299365358
0.1917,1.000327065903
0.1959,1.0003244981045
0.2002,1.0003220826967
0.2045,1.000319859096
0.2088,1.0003178063927
0.2130,1.0003159491557
0.2173,1.0003141836437
0.2216,1.0003125421949
0.2259,1.0003110129216
0.2301,1.0003096174992
0.2344,1.0003082804394
0.2387,1.0003070279433
0.2430,1.0003058527535
0.2472,1.0003047733247
0.2515,1.0003037325774
0.2558,1.0003027518148
0.2600,1.0003018472894
0.2643,1.0003009717909
0.2686,1.0003001436653
0.2729,1.0002993594546
0.2771,1.0002986328672
0.2814,1.0002979264994
0.2857,1.000297255504
0.2900,1.0002966174972
0.2942,1.0002960240837
0.2985,1.0002954450422
0.3028,1.000294893012
0.3070,1.0002943782739
0.3113,1.0002938747859
0.3156,1.0002933936509
0.3199,1.0002929335374
0.3241,1.0002925032374
0.3284,1.0002920811403
0.3327,1.0002916766565
0.3370,1.0002912888013
0.3412,1.0002909251414
0.3455,1.0002905675228
0.3498,1.0002902239878
0.3541,1.000289893794
0.3583,1.0002895834941
0.3626,1.0002892776758
0.3669,1.0002889832643
0.3711,1.0002887061662
0.3754,1.0002884326629
0.3797,1.0002881689747
0.3840,1.0002879146307
0.3882,1.0002876747985
0.3925,1.000287437649
0.3968,1.0002872086019
0.4011,1.0002869872875
0.4053,1.0002867782509
0.4096,1.0002865712151
0.4139,1.0002863709307
0.4181,1.0002861815402
0.4224,1.0002859937524
0.4267,1.0002858118871
0.4310,1.0002856356953
0.4352,1.0002854688516
0.4395,1.0002853031915
0.4438,1.0002851425372
0.4481,1.000284986687
0.4523,1.0002848389154
0.4566,1.000284692007
0.4609,1.0002845493599
0.4651,1.000284413986
0.4694,1.000284279285
0.4737,1.0002841483777
0.4780,1.0002840211216
0.4822,1.0002839002197
0.4865,1.0002837797878
0.4908,1.0002836626212
0.4951,1.0002835486019
0.4993,1.0002834401647
0.5036,1.0002833320404
0.5079,1.0002832267425
0.5122,1.0002831241727
0.5164,1.0002830265317
0.5207,1.0002829290815
0.5250,1.0002828340908
0.5292,1.0002827436044
0.5335,1.0002826532356
0.5378,1.0002825650902
0.5421,1.0002824790953
0.5463,1.0002823971095
0.5506,1.0002823151629
0.5549,1.000282235167
0.5592,1.00028215706
0.5634,1.0002820825361
0.5677,1.0002820079905
