wl,n
2.480E-06,1.000E+00
4.133E-06,1.000E+00
1.240E-05,1.000E+00
1.378E-05,1.000E+00
1.459E-05,1.000E+00
2.480E-05,1.000E+00
4.133E-05,1.000E+00
6.199E-05,1.000E+00
8.266E-05,1.000E+00
8.856E-05,1.000E+00
9.537E-05,1.000E+00
1.033E-04,1.000E+00
1.240E-04,1.000E+00
1.550E-04,1.000E+00
2.066E-04,1.000E+00
3.100E-04,1.000E+00
3.542E-04,1.000E+00
3.757E-04,1.000E+00
3.875E-04,1.000E+00
3.999E-04,1.000E+00
4.133E-04,1.000E+00
4.428E-04,1.000E+00
4.769E-04,1.000E+00
4.959E-04,1.000E+00
5.061E-04,1.000E+00
5.166E-04,1.000E+00
5.636E-04,1.000E+00
6.199E-04,1.000E+00
6.888E-04,1.000E+00
7.749E-04,1.000E+00
8.856E-04,9.990E-01
9.537E-04,9.990E-01
1.033E-03,9.990E-01
1.127E-03,9.990E-01
1.240E-03,9.990E-01
1.305E-03,9.990E-01
1.378E-03,9.990E-01
1.459E-03,9.990E-01
1.550E-03,9.990E-01
1.653E-03,9.980E-01
1.771E-03,9.980E-01
1.907E-03,9.980E-01
2.066E-03,9.980E-01
2.254E-03,9.980E-01
2.480E-03,9.980E-01
2.583E-03,9.980E-01
2.695E-03,9.970E-01
2.818E-03,9.970E-01
2.952E-03,9.970E-01
3.100E-03,9.970E-01
3.179E-03,9.970E-01
3.263E-03,9.970E-01
3.351E-03,9.970E-01
3.444E-03,9.970E-01
3.542E-03,9.970E-01
3.647E-03,9.970E-01
3.757E-03,9.970E-01
3.875E-03,9.970E-01
3.999E-03,9.970E-01
4.133E-03,9.970E-01
4.275E-03,9.970E-01
4.428E-03,9.960E-01
4.592E-03,9.960E-01
4.769E-03,9.960E-01
4.959E-03,9.960E-01
5.166E-03,9.950E-01
5.391E-03,9.940E-01
5.636E-03,9.930E-01
5.904E-03,9.910E-01
6.199E-03,9.900E-01
6.525E-03,9.880E-01
6.888E-03,9.860E-01
7.293E-03,9.840E-01
7.749E-03,9.800E-01
8.266E-03,9.760E-01
8.551E-03,9.740E-01
8.856E-03,9.720E-01
9.184E-03,9.690E-01
9.537E-03,9.660E-01
9.919E-03,9.640E-01
1.033E-02,9.600E-01
1.078E-02,9.560E-01
1.127E-02,9.530E-01
1.181E-02,9.490E-01
1.240E-02,9.450E-01
1.305E-02,9.400E-01
1.378E-02,9.350E-01
1.459E-02,9.330E-01
1.550E-02,9.320E-01
1.653E-02,9.330E-01
1.771E-02,9.420E-01
1.907E-02,9.550E-01
2.066E-02,9.660E-01
2.101E-02,9.700E-01
2.138E-02,9.750E-01
2.175E-02,9.810E-01
2.214E-02,9.870E-01
2.254E-02,9.930E-01
2.296E-02,1.000E+00
2.339E-02,1.007E+00
2.384E-02,1.014E+00
2.431E-02,1.022E+00
2.480E-02,1.027E+00
2.583E-02,1.033E+00
2.695E-02,1.036E+00
2.818E-02,1.041E+00
2.952E-02,1.048E+00
3.100E-02,1.051E+00
3.263E-02,1.046E+00
3.444E-02,1.038E+00
3.647E-02,1.027E+00
3.757E-02,1.020E+00
3.875E-02,1.009E+00
3.999E-02,9.970E-01
4.133E-02,9.870E-01
4.203E-02,9.880E-01
4.275E-02,9.910E-01
4.350E-02,9.870E-01
4.428E-02,9.980E-01
4.509E-02,1.035E+00
4.592E-02,1.011E+00
4.679E-02,9.980E-01
4.769E-02,9.990E-01
4.862E-02,1.001E+00
4.959E-02,1.004E+00
5.061E-02,1.070E+00
5.166E-02,1.065E+00
5.276E-02,1.013E+00
5.391E-02,9.810E-01
5.636E-02,9.360E-01
6.199E-02,8.560E-01
6.888E-02,7.630E-01
7.749E-02,6.920E-01
8.856E-02,6.400E-01
1.033E-01,6.270E-01
1.240E-01,7.100E-01
1.550E-01,9.040E-01
2.066E-01,1.364E+00
2.480E-01,1.482E+00
3.100E-01,1.517E+00
3.542E-01,1.541E+00
4.133E-01,1.556E+00
4.959E-01,1.865E+00
6.199E-01,2.244E+00
8.266E-01,2.861E+00
1.240E+00,5.036E+00
1.550E+00,6.247E+00
2.066E+00,7.466E+00
3.100E+00,8.572E+00
6.199E+00,6.908E+00

