wl,n
0.00103238,0.99947037
0.001037525,0.99947112
0.001038394,0.99947152
0.001039264,0.99947226
0.001040136,0.99947459
0.001041009,0.99947881
0.001041884,0.9994853
0.00104276,0.999494
0.001043638,0.9995044
0.001044517,0.99951545
0.001045398,0.99952582
0.00104628,0.99953401
0.001047164,0.99953828
0.001048049,0.99953878
0.001048936,0.99953702
0.001049824,0.99953444
0.001050713,0.9995309
0.001051605,0.99952704
0.001052497,0.99952371
0.001053392,0.99951986
0.001054287,0.99951596
0.001055185,0.99951278
0.001059694,0.99950017
0.001064242,0.99949092
0.001068829,0.99948409
0.001073456,0.99947859
0.001078123,0.99947351
0.001082831,0.9994689
0.001087581,0.99946496
0.001092372,0.99946133
0.001097205,0.9994577
0.001102082,0.99945441
0.001107002,0.99945195
0.001111966,0.99944954
0.001116975,0.99944725
0.001122029,0.99944512
0.001127129,0.99944229
0.001132276,0.99943987
0.00113747,0.99943838
0.001142711,0.99943643
0.001148002,0.9994339
0.001153341,0.99943182
0.001158731,0.99943061
0.001164171,0.99942963
0.001169662,0.99942839
0.001175206,0.99942697
0.001180802,0.99942525
0.001186452,0.99942376
0.001192156,0.99942244
0.001197915,0.99941953
0.00120373,0.9994163
0.001209602,0.99941447
0.001215531,0.99941332
0.001221519,0.99941252
0.001227566,0.99941178
0.001233674,0.99941132
0.001239842,0.99941153
0.001242327,0.99941187
0.001244821,0.99941272
0.001246072,0.999414
0.001247326,0.99941536
0.001249841,0.99941688
0.001252366,0.99941816
0.001254901,0.99941835
0.001257446,0.99941756
0.001260002,0.99941695
0.001262568,0.99941652
0.001265145,0.99941639
0.001267732,0.99941683
0.00127033,0.99941846
0.001272938,0.99942102
0.001275557,0.99942326
0.001278187,0.99942446
0.001280828,0.99942483
0.00128348,0.99942471
0.001286143,0.99942502
0.001288817,0.99942627
0.001291502,0.99942724
0.001294198,0.99942737
0.001296906,0.9994272
0.001299625,0.99942705
0.001302355,0.99942637
0.001305097,0.99942586
0.00130785,0.99942623
