wl,n
0.188,1.16
0.192,1.21
0.195,1.26
0.199,1.29
0.203,1.32
0.207,1.36
0.212,1.38
0.216,1.41
0.221,1.43
0.226,1.45
0.231,1.47
0.237,1.47
0.243,1.46
0.249,1.45
0.255,1.45
0.262,1.44
0.269,1.44
0.276,1.44
0.284,1.44
0.292,1.44
0.301,1.44
0.311,1.44
0.320,1.45
0.332,1.46
0.342,1.48
0.354,1.49
0.368,1.50
0.381,1.53
0.397,1.57
0.413,1.61
0.431,1.67
0.451,1.74
0.471,1.81
0.496,1.88
0.521,1.97
0.549,2.05
0.582,2.13
0.617,2.19
0.659,2.25
0.704,2.31
0.756,2.40
0.821,2.53
0.892,2.65
0.984,2.78
1.088,2.94
1.216,3.17
1.393,3.42
1.610,3.61
1.937,3.87

