wl,n
0.312539,0.828383
0.334099,0.690892
0.364981,0.595515
0.369992,0.562034
0.386967,0.508871
0.399949,0.441436
0.420001,0.400244
0.439972,0.339727
0.469993,0.302976
0.512967,0.272621
0.556982,0.262607
0.609858,0.260709
0.673096,0.266029
0.762980,0.279706
0.885601,0.302600
1.017098,0.318736
1.185317,0.316566
1.343274,0.306142
1.435002,0.298357
1.515699,0.288149
1.595678,0.279656
1.689158,0.272608
1.766157,0.264679
1.836803,0.257275
1.904519,0.250691
1.980578,0.238743
2.039214,0.246495
2.112167,0.241092
2.167556,0.243133
2.421566,0.262612

