wl,n
0.000882651,0.99974513
0.000885802,0.99974409
0.000888949,0.99974333
0.000892148,0.99974248
0.000895385,0.99974127
0.000898614,0.99974031
0.000901856,0.99973933
0.000905184,0.99973794
0.000908479,0.99973612
0.000911792,0.99973506
0.000915168,0.99973487
0.000918567,0.99973429
0.000921948,0.99973365
0.000925406,0.99973319
0.000928833,0.99973273
0.000932362,0.99973207
0.000935846,0.99973113
0.000939404,0.99973027
0.000942985,0.99972963
0.000946546,0.9997292
0.000950204,0.99972864
0.000953851,0.99972793
0.000957498,0.99972744
0.000961232,0.99972708
0.000964999,0.99972691
0.000968742,0.99972695
0.000972491,0.99972701
0.000976329,0.99972741
0.000980204,0.99972831
0.000984109,0.99972895
0.000988004,0.99972925
0.000991977,0.99972972
0.000995959,0.99973061
0.00099995,0.99973232
0.001003999,0.9997348
0.001008075,0.9997364
0.001012166,0.99973693
0.00101632,0.99973778
0.001020558,0.99974052
0.001024755,0.99974495
0.001028966,0.99974897
0.001033271,0.99975419
0.001035437,0.99975248
0.001035848,0.99975058
0.001036239,0.99975235
0.001036701,0.99975094
0.001037116,0.99974807
0.001037584,0.99975115
0.00103798,0.99975175
0.001038418,0.99975022
0.001038847,0.999749
0.001039233,0.99974754
0.001039721,0.99974684
0.001040111,0.99974706
0.001040602,0.99974675
0.001040983,0.9997452
0.00104145,0.99974277
0.001041842,0.99974488
0.001042242,0.99974761
0.001042738,0.99974655
0.001043124,0.99974551
0.00104362,0.99974494
0.001044002,0.99974531
0.001044463,0.999745
0.00104486,0.99974706
0.001045308,0.99974837
0.001045743,0.99974684
0.001046148,0.99974786
0.001046634,0.99974937
0.00104702,0.9997504
0.001047497,0.99975246
0.001047893,0.9997527
0.001048374,0.99975358
0.001048785,0.99975481
0.001049194,0.99975433
0.001049695,0.99975342
0.001050071,0.99975456
0.001050563,0.99975687
0.001050987,0.99975803
0.001051465,0.99975787
0.001051873,0.99975799
0.001052331,0.99976003
0.001052757,0.99975968
0.001053152,0.999758
0.001053643,0.99975783
0.001054048,0.99975835
0.001054544,0.99975844
0.001054945,0.99975755
0.001055455,0.99975519
0.001055856,0.99975101
0.001056308,0.99974872
0.001056748,0.99974705
0.001057162,0.99974303
0.001057644,0.99973935
0.001058039,0.99973681
0.00105853,0.99973235
0.00105895,0.99972808
0.001059442,0.99972372
0.001059847,0.99972023
0.001060333,0.99971555
0.001060743,0.99970976
0.00106121,0.99970354
0.001061655,0.99969759
0.001062069,0.99969018
0.001062574,0.99967887
0.001062965,0.9996708
0.00106347,0.99966043
0.00106388,0.99964995
0.001064382,0.99963555
0.001064801,0.9996225
0.001065272,0.99960836
0.001065703,0.99959511
0.001066155,0.99958457
0.001066618,0.99957131
0.001067066,0.99955115
0.001067538,0.99952659
0.001067939,0.99951215
0.001068448,0.99950471
0.001068878,0.99952006
0.001069364,0.99958834
0.001069784,0.99968136
0.001070261,0.99981946
0.001070699,0.99999004
0.001071148,1.0001786
0.001071624,1.0003311
0.001072043,1.000389
0.001072534,1.0003859
0.001072955,1.0003443
0.001073474,1.000267
0.001073908,1.000203
0.00107441,1.0001413
0.001074815,1.0001015
0.001075325,1.0000627
0.00107573,1.0000376
0.001076188,1.000014
0.001076664,0.9999933
0.001077099,0.99997699
0.001077603,0.99996104
0.001078004,0.99994989
0.001078538,0.99993581
0.001078954,0.99992643
0.001079477,0.99991544
0.001079869,0.99990768
0.001080393,0.9998985
0.001080798,0.99989142
0.001081337,0.99988127
0.001081748,0.99987326
0.001082244,0.99986478
0.001082682,0.99985676
0.001083202,0.99984546
0.001083626,0.99983722
0.001084122,0.99982753
0.001084561,0.99981801
0.00108501,0.99980804
0.00108551,0.99979586
0.001085949,0.99978591
0.001086464,0.99977198
0.001086859,0.99976107
0.001087394,0.99974594
0.001087823,0.99973047
0.001088352,0.99971043
0.001088776,0.99969328
0.001089309,0.99967164
0.00108973,0.99965676
0.001090255,0.99964126
