wl,n
0.4000,1.0000346506511
0.4060,1.0000346359507
0.4120,1.0000346219286
0.4180,1.000034608543
0.4240,1.0000345957555
0.4300,1.0000345835306
0.4360,1.0000345718353
0.4420,1.000034560639
0.4480,1.0000345499135
0.4540,1.0000345396324
0.4600,1.0000345297712
0.4660,1.0000345203071
0.4720,1.0000345112188
0.4780,1.0000345024865
0.4840,1.0000344940917
0.4900,1.0000344860169
0.4960,1.000034478246
0.5020,1.0000344707638
0.5080,1.000034463556
0.5140,1.0000344566093
0.5200,1.0000344499109
0.5260,1.0000344434493
0.5320,1.0000344372131
0.5380,1.0000344311921
0.5440,1.0000344253762
0.5500,1.0000344197563
0.5560,1.0000344143235
0.5620,1.0000344090696
0.5680,1.0000344039867
0.5740,1.0000343990675
0.5800,1.0000343943049
0.5860,1.0000343896923
0.5920,1.0000343852234
0.5980,1.0000343808923
0.6040,1.0000343766934
0.6100,1.0000343726212
0.6160,1.0000343686707
0.6220,1.0000343648371
0.6280,1.0000343611158
0.6340,1.0000343575023
0.6400,1.0000343539926
0.6460,1.0000343505827
0.6520,1.0000343472688
0.6580,1.0000343440473
0.6640,1.0000343409149
0.6700,1.0000343378681
0.6760,1.000034334904
0.6820,1.0000343320195
0.6880,1.0000343292118
0.6940,1.0000343264782
0.7000,1.0000343238161
0.7060,1.000034321223
0.7120,1.0000343186965
0.7180,1.0000343162343
0.7240,1.0000343138344
0.7300,1.0000343114945
0.7360,1.0000343092127
0.7420,1.0000343069871
0.7480,1.0000343048158
0.7540,1.0000343026971
0.7600,1.0000343006293
0.7660,1.0000342986108
0.7720,1.0000342966399
0.7780,1.0000342947152
0.7840,1.0000342928354
0.7900,1.0000342909989
0.7960,1.0000342892044
0.8020,1.0000342874507
0.8080,1.0000342857366
0.8140,1.0000342840608
0.8200,1.0000342824223
0.8260,1.0000342808198
0.8320,1.0000342792524
0.8380,1.0000342777191
0.8440,1.0000342762188
0.8500,1.0000342747507
0.8560,1.0000342733137
0.8620,1.0000342719071
0.8680,1.0000342705299
0.8740,1.0000342691814
0.8800,1.0000342678607
0.8860,1.0000342665672
0.8920,1.0000342653
0.8980,1.0000342640584
0.9040,1.0000342628418
0.9100,1.0000342616494
0.9160,1.0000342604807
0.9220,1.0000342593351
0.9280,1.0000342582118
0.9340,1.0000342571104
0.9400,1.0000342560302
0.9460,1.0000342549708
0.9520,1.0000342539316
0.9580,1.000034252912
0.9640,1.0000342519117
0.9700,1.00003425093
0.9760,1.0000342499666
0.9820,1.000034249021
0.9880,1.0000342480928
0.9940,1.0000342471815
1.000,1.0000342462867
