wl,n
0.000922369,1.0002736
0.000925601,1.0001301
0.000928721,1.000052
0.000931862,1.0000028
0.000932843,0.99998924
0.000933897,0.99997174
0.000934954,0.99995605
0.000936012,0.99994598
0.000937073,0.99993657
0.000938137,0.99992486
0.000939203,0.99991349
0.000940271,0.99990165
0.000941342,0.99989082
0.00094238,0.99988308
0.000946444,0.99985548
0.00095007,0.99983875
0.000953725,0.99982299
0.000957407,0.99980549
0.000961118,0.99979254
0.000964857,0.99978082
0.000968626,0.99976808
0.000972425,0.99975226
0.000976253,0.99974325
0.000980112,0.99973496
0.000984001,0.99972271
0.000987922,0.9997143
0.000991873,0.99970462
0.000995857,0.99969239
0.000999872,0.99968463
0.001003921,0.99967776
0.001008002,0.9996682
0.001012116,0.99966002
0.001016264,0.99965133
0.001020446,0.99964268
0.001024663,0.9996345
0.001028914,0.99962616
0.001033202,0.99961959
0.001037525,0.99961443
0.001041884,0.99960647
0.00104628,0.9995981
0.001050713,0.99959271
0.001055185,0.99958438
0.001059694,0.99957583
0.001064242,0.99956801
0.001068829,0.99956067
0.001073456,0.99955503
0.001078123,0.99954942
0.001082831,0.99954256
0.001087581,0.99953503
0.001092372,0.9995282
0.001097205,0.99952196
0.001102082,0.99951456
0.001107002,0.99950602
0.001111966,0.99949777
0.001116975,0.99949195
0.001122029,0.99948608
0.001127129,0.99947962
0.001132276,0.99947624
0.00113747,0.99946794
0.001142711,0.99945448
0.001148002,0.99944661
0.001153341,0.99944063
0.001158731,0.99943334
0.001164171,0.99942687
0.001169662,0.99942069
0.001175206,0.99941414
0.001180802,0.99940477
0.001186452,0.99939561
0.001192156,0.99938872
0.001197915,0.99938116
0.00120373,0.99937313
0.001209602,0.99936549
0.001215531,0.99935688
0.001221519,0.99934855
0.001227566,0.99934151
0.001233674,0.99933345
0.001239842,0.99932465
0.001246072,0.99931736
0.001252366,0.99931002
0.001258723,0.99930192
0.001265145,0.99929415
0.001271633,0.99928588
0.001278187,0.99927738
0.00128481,0.99926787
0.00129083,0.9992601
0.001299325,0.99924782
0.001305097,0.9992373
0.001312002,0.99922752
0.001318981,0.99921875
0.001326034,0.99920805
0.001333163,0.99919935
0.00134037,0.99919203
0.001347654,0.99918316
0.001355018,0.99917303
0.001362464,0.99916309
0.001369991,0.99915403
0.001377602,0.99914458
0.001383165,0.99913682
0.001393081,0.99912216
0.001400951,0.99911094
0.001408911,0.99909959
0.001416962,0.99908807
0.001425106,0.99907636
0.001433343,0.99906445
0.001441677,0.99905233
0.001450107,0.99903999
0.001458637,0.99902743
0.001467268,0.99901465
0.001476002,0.99900164
0.001484841,0.99898842
0.001493785,0.99897493
0.001503476,0.99896023
0.001512002,0.99894723
0.001521278,0.99893303
0.001530669,0.99891857
0.001540176,0.99890385
0.001549802,0.99888888
0.00155955,0.99887366
0.00156942,0.99885818
0.001579416,0.99884244
0.001589541,0.99882643
0.001599796,0.99881015
0.001610184,0.9987936
0.001620708,0.99877679
0.001631371,0.99875969
0.001642175,0.99874221
0.001653122,0.99872455
0.001664217,0.9987066
0.001675462,0.99868837
0.00168686,0.99866985
0.001698414,0.99865102
0.001710127,0.9986319
0.001722003,0.99861247
0.001734045,0.99859274
0.001746256,0.99857271
0.001758641,0.99855235
0.001771203,0.99853168
0.001783945,0.99851068
0.001796872,0.99848935
0.001809988,0.99846769
0.001823297,0.99844569
0.001828756,0.99843663
0.001856634,0.99839008
0.001864424,0.99837733
0.001878548,0.99835427
0.001892888,0.99833136
0.001907449,0.99830846
0.001922235,0.99828332
0.001937253,0.99825715
0.001952507,0.99823039
0.001968003,0.99820369
0.001983747,0.99817763
0.001999745,0.99815165
0.002016003,0.99812483
0.002032528,0.99809752
0.002049325,0.99806924
0.002066403,0.99804055
0.002083768,0.9980118
0.002101427,0.99798022
0.002119388,0.99795082
0.002137658,0.99792413
0.002156247,0.99789314
0.002175161,0.99786109
0.00219441,0.99783134
0.002214003,0.99780522
0.002233949,0.99778343
0.002250739,0.99776819
0.002266704,0.99773895
0.002270773,0.99772426
0.002272854,0.99771794
0.002274939,0.99771283
0.002277028,0.99770616
0.002279121,0.9977002
0.002281218,0.99769571
0.002283318,0.99769236
0.002285423,0.99768822
0.002287531,0.9976822
0.002289643,0.99767676
0.002291759,0.99767309
0.00229388,0.99766897
0.002296003,0.99766326
0.002298131,0.99765759
0.002300263,0.99765185
0.002302399,0.9976464
0.002304539,0.99764229
0.002306683,0.9976365
0.00230883,0.99762973
0.002310982,0.99762564
0.002313138,0.99762406
0.002315298,0.99762339
0.002317461,0.9976239
0.002319629,0.99762331
0.002321801,0.99761974
0.002323977,0.99761683
0.002326157,0.99761299
0.002328342,0.99760894
0.00233053,0.99760618
0.002332722,0.99760087
0.002334919,0.99759636
0.002337119,0.99759263
0.002339324,0.99758753
0.002341533,0.99759007
0.002343746,0.99759424
0.002345964,0.99758918
0.002348185,0.9975801
0.002350411,0.99757122
0.002352641,0.99756264
0.002354875,0.99755524
0.002357114,0.99754998
0.002359357,0.99754439
0.002361604,0.99753738
0.002363855,0.99753007
0.00236611,0.99752341
0.00236837,0.99751681
0.002370635,0.99751006
0.002372903,0.99749503
0.002375176,0.99748905
0.002379735,0.99749351
0.002384311,0.99748779
0.002388905,0.99748092
0.002393517,0.9974748
0.002398147,0.99746759
0.002402794,0.99745921
0.00240746,0.99745037
0.002412144,0.99743997
0.002416846,0.99743012
0.002421566,0.99741995
0.002426305,0.99740949
0.002431062,0.99739794
0.002435839,0.99738173
0.002440634,0.99737408
0.002445447,0.99737358
0.00245028,0.99736785
0.002455132,0.99736178
0.002460004,0.99735519
