wl,n
0.00236,0.99477
0.00316,0.99506
0.00447,0.99116
0.00676,0.9845
0.01140,0.9359
0.01355,0.893
0.01714,0.858
0.02430,0.868
0.02563,0.900
0.03038,0.779
0.03270,0.723
0.03568,0.648
0.03793,0.624
0.04059,0.651
0.04478,0.657
0.04607,0.658
0.04895,0.714
0.05391,0.759
0.05843,0.838
0.06163,0.910
0.06714,1.14
0.07185,1.07
0.07359,1.08
0.07437,1.09
0.08345,0.976
0.08780,1.10
0.09198,1.06
0.09321,1.00
0.09888,1.23
0.10258,1.08
0.10482,1.14
0.10667,1.14
0.10857,1.20
0.11350,1.27
0.12007,1.31
0.12157,1.42

