wl,n
0.00236,0.99605
0.00316,0.99514
0.00447,0.99273
0.00676,0.9863
0.01140,0.9524
0.01355,0.9139
0.01714,0.886
0.02430,0.883
0.02563,0.860
0.03038,0.840
0.03270,0.753
0.03568,0.703
0.03793,0.663
0.04059,0.638
0.04478,0.631
0.04607,0.623
0.04895,0.688
0.05391,0.750
0.05843,0.809
0.06163,0.805
0.06714,0.961
0.07185,1.03
0.07359,1.09
0.07437,1.15
0.08345,1.09
0.08780,1.03
0.09198,1.08
0.09321,1.15
0.09888,1.15
0.10258,1.26
0.10482,1.21
0.10667,1.14
0.10857,1.16
0.11350,1.16
0.12007,1.25
0.12157,1.26

