wl,n
0.2066,1.264
0.2101,1.288
0.2138,1.311
0.2175,1.325
0.2214,1.349
0.2254,1.383
0.2296,1.430
0.2339,1.499
0.2384,1.599
0.2431,1.802
0.2480,2.273
0.2530,2.890
0.2583,3.342
0.2638,3.598
0.2695,3.769
0.2755,3.913
0.2818,4.015
0.2883,3.939
0.2952,3.810
0.3024,3.692
0.3100,3.601
0.3179,3.538
0.3263,3.501
0.3351,3.485
0.3444,3.495
0.3542,3.531
0.3647,3.596
0.3757,3.709
0.3875,3.938
0.3999,4.373
0.4133,4.509
0.4275,5.052
0.4428,4.959
0.4592,4.694
0.4769,4.492
0.4959,4.333
0.5166,4.205
0.5391,4.100
0.5636,4.013
0.5904,3.940
0.6199,3.878
0.6525,3.826
0.6888,3.785
0.7293,3.742
0.7749,3.700
0.8266,3.666

