wl,n
0.1980,1.6509022799689
0.2166,1.6272977650335
0.2351,1.6105940236753
0.2537,1.5981375685748
0.2722,1.5886508907652
0.2908,1.5811587921582
0.3093,1.5751824236813
0.3279,1.5702782520905
0.3464,1.5662374657034
0.3650,1.5628280572049
0.3835,1.5599498344138
0.4021,1.557468712187
0.4206,1.5553336391433
0.4392,1.5534610691137
0.4577,1.5518241321073
0.4763,1.5503675987929
0.4948,1.5490772608042
0.5134,1.5479148085828
0.5319,1.5468729798294
0.5505,1.5459241112231
0.5690,1.5450648865548
0.5876,1.5442746312619
0.6061,1.5435523290821
0.6247,1.5428820577752
0.6432,1.5422641654214
0.6618,1.5416860584341
0.6803,1.5411489026025
0.6989,1.5406424949492
0.7174,1.5401684928317
0.7360,1.5397184470901
0.7545,1.5392943091668
0.7731,1.5388889400007
0.7916,1.5385044645243
0.8102,1.5381347373865
0.8287,1.537781983273
0.8473,1.5374408202771
0.8658,1.5371135281027
0.8844,1.5367953176023
0.9029,1.5364884969242
0.9215,1.5361887410528
0.9400,1.5358983714683
0.9586,1.5356134288933
0.9771,1.5353362402843
0.9957,1.5350631358046
1.014,1.5347993033996
1.033,1.5345299129011
1.051,1.5342784742648
1.070,1.5340165738061
1.088,1.5337713742758
1.107,1.5335152311644
1.126,1.5332614617766
1.144,1.5330229178564
1.163,1.5327727829467
1.181,1.5325371192561
1.200,1.5322894756697
1.218,1.5320556903891
1.237,1.5318095583379
1.255,1.5315767901968
1.274,1.5313313248278
1.293,1.5310859107631
1.311,1.5308532975129
1.330,1.5306074784481
1.348,1.5303741892948
1.367,1.5301273680368
1.385,1.5298928727237
1.404,1.5296445239362
1.422,1.5294083547299
1.441,1.5291580137571
1.459,1.528919755828
1.478,1.528667009457
1.497,1.5284128818223
1.515,1.5281707716945
1.534,1.5279136943812
1.552,1.5276686367813
1.571,1.5274082947433
1.589,1.5271600057484
1.608,1.5268961135012
1.626,1.5266443351423
1.645,1.5263766326056
1.664,1.526106879613
1.682,1.5258493782134
1.701,1.5255754619142
1.719,1.5253139146014
1.738,1.5250356243355
1.756,1.5247698389666
1.775,1.5244869792046
1.793,1.5242167769668
1.812,1.523929165267
1.830,1.5236543788808
1.849,1.5233618441258
1.868,1.5230667180626
1.886,1.5227846971589
1.905,1.5224844072459
1.923,1.5221974228407
1.942,1.5218918201118
1.960,1.5215997344067
1.979,1.5212886766649
1.997,1.5209913578099
2.016,1.5206747086773
2.035,1.5203551369454
2.053,1.5200496580072
